year/month	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Mean		year	AnnualMean
1997- 5	31.7	0	0	30.9	57	7.2	1	46.4	4.9	9.9	0	10.2	47.5	6	53.5	7.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.11612903			
1997- 6	0	0	0	0	0	24.8	25.2	0	0	0	0	0	0	3.9	0	0	0	0	0	0	26	5.4	0	0	0	0	0	0	0	0	0	2.751612903			
1997- 7	0	0	0	0	0	10.2	0	0	0	0	0	0	0	0	2.8	0	0	4	6	2.6	0	0	0	2	0	0	0	0	0	0	0	0.890322581			
1997- 8	0	0	0	0	0	0	0	0	0	0	0	0	44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.451612903			
1997- 9	2.9	0	0	0	0	0	0	0	44	9	10.6	0	0	22.7	0	0	8.5	22.5	0	0	3	2.9	2.3	0	0	0	38.3	0	0	0	0	5.377419355			
1997-10	0	21.2	22.8	20	0	0	32.4	17.5	0	0	0	0	0	0	60.6	4.1	0	0	12	54.5	4.9	0	0	40.2	0	18.2	0	13.6	33.3	37.7	19.5	13.30645161			
1997-11	0	0	8.9	63.9	0.8	4.6	33.6	0.3	0	5.6	14.2	2.1	2.5	112	34	0	2.9	75.2	40.5	24.1	24.8	1.8	0	26.3	55.2	0	24.2	7.7	0.5	0.2	0	18.25483871			
1997-12	7.5	6.5	12.4	12.6	15	17	31.5	69.1	0	2	70.6	4.8	5.8	2.6	0	7.3	26.2	2.7	7.6	0	0	6.7	0	0	0	0	0	0	3.7	0	0	10.0516129			
1998- 1	13.8	4.5	60.9	4.8	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.774193548			
1998- 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.5	19.9	0	34.1	0	0	5.4	0	0	0	0	0	0	0	0	0	3.416129032			
1998- 3	0	0	0	0	0	0	3.7	6.6	1.4	0	0	0	0	24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.161290323			
1998- 4	0	0	20.7	0.7	0.7	1.7	0	0	0	0	0	0	0	0	0	19.5	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	1.470967742			
1998- 5	0	16.3	25.2	2	22.3	0.9	7.6	0	5.5	50	9.7	20	11.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.551612903			
1998- 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0.022580645			
